ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
48667,?.,????????,BGS,BGS12,BGS12-07,3,8,3,1873,02,3108
48670,?.,??????,GAB,GAB29,GAB29-00,3,7,5,1873,07,3109
48698,?.,?????????,HKV,HKV28,HKV28-00,3,7,5,1873,26,3110
48708,?.,???????,SLV,SLV20,SLV20-28,3,6,3,1873,19,3111
48711,?.,?????????,KNL,KNL04,KNL04-13,3,5,6,1873,09,3112
48725,?.,?????????,SLV,SLV16,SLV16-16,3,6,3,1873,19,3113
48742,?.,???????,GAB,GAB29,GAB29-00,3,8,6,1873,07,3114
48756,?.,???????,KRZ,KRZ02,KRZ02-16,3,7,6,1873,08,3115
48765,?.,??????,SZR,SZR31,SZR31-28,3,6,3,1873,23,3116
48773,?.,??????,SHU,SHU19,SHU19-08,3,7,3,1873,27,3117
48787,?.,??????,JAM,JAM25,JAM25-27,3,6,3,1873,28,3118
48790,?.,???????,TGV,TGV22,TGV22-52,3,7,4,1873,25,3119
30380,?.,????????,RSE,RSE08,RSE08-00,3,7,5,1873,17,3120
48800,?.,????????,GAB,GAB35,GAB35-00,3,8,6,1873,07,3121
48814,?.,????????,SML,SML31,SML31-18,3,6,7,1873,20,3122
48828,?.,????????,DOB,DOB17,DOB17-00,3,8,3,1873,24,3123
48831,?.,????????,SZR,SZR36,SZR36-00,3,8,4,1873,23,3124
48845,?.,????????,KRZ,KRZ14,KRZ14-18,3,7,5,1873,08,3125
00045,?.,??????,SLV,SLV11,SLV11-01,3,5,4,1873,19,3127
48859,?.,??????,MON,MON11,MON11-08,3,5,3,1873,11,3128
48862,?.,??????,SHU,SHU23,SHU23-06,3,7,3,1873,27,3129
48876,?.,???????,PAZ,PAZ19,PAZ19-17,3,5,4,1873,12,3130
50245,??.,????? ??????,SFO,SFO25,SFO25-05,1,5,5,1873,22,3131
48951,?.,????? ????,VTR,VTR04,VTR04-00,3,7,4,1873,04,3132
48903,?.,?????? ???????,PAZ,PAZ04,PAZ04-05,3,5,5,1873,12,3133
48917,?.,?????? ?????,KRZ,KRZ21,KRZ21-00,3,8,5,1873,08,3134
29221,?.,?????? ??????,BGS,BGS06,BGS06-00,3,7,4,1873,02,3135
48920,?.,??????,TGV,TGV35,TGV35-00,3,7,5,1873,25,3136
48934,?.,??????,HKV,HKV34,HKV34-19,3,8,4,1873,26,3137
48948,?.,?????? ????,PDV,PDV25,PDV25-03,3,6,3,1873,15,3138
48965,?.,????????,PDV,PDV28,PDV28-13,3,7,3,1873,15,3139
48979,?.,???????,HKV,HKV28,HKV28-07,3,6,3,1873,26,3140
48996,??.,??????????,KRZ,KRZ21,KRZ21-00,1,3,4,1873,08,3141
49000,?.,?????????,VAR,VAR08,VAR08-00,3,7,4,1873,03,3142
49014,?.,??????????,SML,SML31,SML31-19,3,5,8,1873,20,3143
